Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Leucocytozoon caulleryi,8293,8316,9.31,2,,,,Exact,8.94848,0,Leucocytozoon caulleryi,Leucocytozoon caulleryi,238458,179,Open Tree of Life,||Eukaryota||Alveolata|Apicomplexa|Aconoidasida|Haemosporoidia|Plasmodium|Leucocytozoidae|Leucocytozoon|Leucocytozoon caulleryi,
1,,P. berghei,20206,20217,5.05,2,,,,NoMatch,0.0,,,,,,,,
2,,P. chabaudi,20218,20230,5.22,2,,,,NoMatch,0.0,,,,,,,,
3,,P. cynomolgi,20181,20194,4.42,2,,,,NoMatch,0.0,,,,,,,,
4,,P. falciparum,1201,1215,7.25,2,,,,NoMatch,0.0,,,,,,,,
5,,P. gaboni,12432,12441,6.15,2,,,,NoMatch,0.0,,,,,,,,
6,,P. gallinaceum,20099,20114,6.99,2,,,,NoMatch,0.0,,,,,,,,
7,,P. knowlesi,12337,12348,6.03,2,,,,NoMatch,0.0,,,,,,,,
8,,P. malariae,3918,3929,6.73,2,,,,NoMatch,0.0,,,,,,,,
9,,P. ovale,3934,3943,5.18,2,,,,NoMatch,0.0,,,,,,,,
10,,P. reichenowi,1118,1132,5.15,2,,,,NoMatch,0.0,,,,,,,,
11,,P. rodhaini,5152,5164,6.26,2,,,,NoMatch,0.0,,,,,,,,
12,,P. schwetzi,5169,5181,5.70,2,,,,NoMatch,0.0,,,,,,,,
13,,P. vivax,3908,3917,4.01,2,,,,NoMatch,0.0,,,,,,,,
14,,Pan troglodytes,1347,1364,5.85,2,,,,Exact,9.01315,0,"Pan troglodytes (Blumenbach, 1775)",Pan troglodytes,4C92G,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Pan|Pan troglodytes,
15,,Pan troglodytes troglodytes,6429,6456,9.42,3,,,,Exact,9.32315,0,"Pan troglodytes troglodytes (Blumenbach, 1775)",Pan troglodytes troglodytes,7KGVV,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Pan|Pan troglodytes|Pan troglodytes troglodytes,
16,,Plasmodium,1254,1264,1.01,1,,,,Exact,9.01315,0,"Plasmodium Marchiafava & Celli, 1885",Plasmodium,63LY7,1,Catalogue of Life,Biota|Chromista|Miozoa|Eucoccidiida|Plasmodiidae|Plasmodium,
17,,Plasmodium falciparum,839,860,12.70,2,,,,Exact,8.98012,0,Plasmodium falciparum,Plasmodium falciparum,101645,2,Wikispecies,,
18,,Plasmodium gaboni,11065,11082,7.56,2,,,,Exact,8.95155,0,Plasmodium gaboni K,Plasmodium gaboni,6519998,179,Open Tree of Life,||Eukaryota||Alveolata|Apicomplexa|Aconoidasida|Haemosporoidia|Plasmodium|Plasmodium|Plasmodium gaboni|Plasmodium gaboni,
