Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aegothelidae,42717,42729,5.12,1,,,,Exact,9.00960,0,Aegothelidae,Aegothelidae,63G,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Apodiformes|Aegothelidae,
1,,C. megarhyncha,1761,1776,6.58,2,,,,NoMatch,0.0,,,,,,,,
2,,Colluricincla,28083,28097,4.23,1,,,,Exact,9.01315,0,"Colluricincla Vigors & Horsfield, 1827",Colluricincla,62N5T,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Pachycephalidae|Colluricincla,
3,,Colluricincla megarhyncha,1314,1342,11.21,2,,,,Exact,9.01315,0,"Colluricincla megarhyncha (Quoy & Gaimard, 1830)",Colluricincla megarhyncha,X4Y4,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Pachycephalidae|Colluricincla|Colluricincla megarhyncha,
4,,Colluricinclidae,6256,6274,5.41,1,,,,Exact,8.98012,0,Colluricinclidae,Colluricinclidae,8816,175,BirdLife International,Aves|Passeriformes|Colluricinclidae,
5,,Melanotaeniidae,42671,42686,5.62,1,,,,Exact,9.00960,0,Melanotaeniidae,Melanotaeniidae,CK5,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Atheriniformes|Melanotaeniidae,
6,,P. incertus,33827,33839,7.53,2,,,,NoMatch,0.0,,,,,,,,
7,,Pitohui,9545,9552,2.84,1,,,,Exact,9.01315,0,"Pitohui Lesson, 1831",Pitohui,6QZQ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Oriolidae|Pitohui,
8,,Pitohui incertus,9553,9571,10.77,2,,,,Exact,9.01138,0,"Pitohui incertus Oort, 1909",Pitohui incertus,4JBXH,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Pachycephalidae|Pseudorectes|Pseudorectes incertus,
9,,Probosciger aterrimus,42887,42909,9.14,2,,,,Exact,9.01315,0,"Probosciger aterrimus (Gmelin, 1788)",Probosciger aterrimus,77Y7H,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Cacatuinae|Probosciger|Probosciger aterrimus,
10,,Ptilonorhynchidae,42759,42776,5.39,1,,,,Exact,9.00960,0,Ptilonorhynchidae,Ptilonorhynchidae,6276X,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Ptilonorhynchidae,
